Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf 
SC,20152016,17,0001,005,SOUTH WARD ELEMENTARY SCHOOL,47261,10.94,5,0.2778,15.75,,,,,,0.00,0.00,0.00,0.00,0.00,15.75,0.00,11/16/2016
SC,20112012,17,0001,006,WEST ELEMENTARY SCHOOL,46922,15.94,3,0.1875,13.03,,,,,,0.00,1.00,0.00,0.00,0.00,11.70,0.33,11/26/2012
SC,20122013,17,0001,006,WEST ELEMENTARY SCHOOL,47421,9.76,4,0.2353,13.50,,,,,,0.00,0.00,0.00,0.00,0.00,12.00,1.50,07/05/2013
SC,20132014,17,0001,006,WEST ELEMENTARY SCHOOL,48987,12.69,6,0.3750,13.00,,,,,,0.00,0.00,0.00,0.00,0.00,11.50,1.50,07/07/2014
SC,20142015,17,0001,006,WEST ELEMENTARY SCHOOL,47733,10.20,7,0.4667,13.40,,,,,,0.00,0.00,0.00,0.00,0.00,12.90,0.50,08/19/2015
SC,20152016,17,0001,006,WEST ELEMENTARY SCHOOL,49846,11.17,7,0.3889,14.20,,,,,,0.00,0.00,0.00,0.00,0.00,13.70,0.50,11/16/2016
SC,20112012,17,0001,008,SIDNEY ALTERNATIVE PROGRAM,52134,13.00,1,1.0000,0.80,,,,,,0.00,0.00,0.00,0.00,0.00,0.80,0.00,11/26/2012
DI,20112012,17,0003,000,LEYTON PUBLIC SCHOOLS,45274,17.50,4,0.1818,21.85,,,,,,0.00,0.00,0.00,0.00,0.00,21.85,0.00,11/26/2012
DI,20122013,17,0003,000,LEYTON PUBLIC SCHOOLS,45296,15.39,4,0.1739,21.85,,,,,,0.00,0.00,0.00,0.00,0.00,21.85,0.00,07/05/2013
DI,20132014,17,0003,000,LEYTON PUBLIC SCHOOLS,45341,13.91,5,0.2174,21.97,,,,,,0.00,0.00,0.00,2.00,0.00,19.97,0.00,07/07/2014
DI,20142015,17,0003,000,LEYTON PUBLIC SCHOOLS,44466,15.70,6,0.2609,21.97,,,,,,0.00,0.00,0.00,2.00,0.00,19.97,0.00,08/19/2015
DI,20152016,17,0003,000,LEYTON PUBLIC SCHOOLS,45865,13.78,6,0.2609,22.95,,,,,,0.00,0.00,0.00,2.00,0.00,20.95,0.00,11/16/2016
SC,20112012,17,0003,001,LEYTON HIGH SCHOOL,45729,16.83,4,0.3333,9.08,,,,,,0.00,0.00,0.00,0.00,0.00,9.08,0.00,11/26/2012
SC,20122013,17,0003,001,LEYTON HIGH SCHOOL,45199,14.36,3,0.2727,8.08,,,,,,0.00,0.00,0.00,0.00,0.00,8.08,0.00,07/05/2013
SC,20132014,17,0003,001,LEYTON HIGH SCHOOL,47257,15.36,4,0.3636,8.22,,,,,,0.00,0.00,0.00,0.00,0.00,8.22,0.00,07/07/2014
SC,20142015,17,0003,001,LEYTON HIGH SCHOOL,48674,16.36,4,0.3636,8.22,,,,,,0.00,0.00,0.00,0.00,0.00,8.22,0.00,08/19/2015
SC,20152016,17,0003,001,LEYTON HIGH SCHOOL,46780,15.00,3,0.2727,9.45,,,,,,0.00,0.00,0.00,0.00,0.00,9.45,0.00,11/16/2016
SC,20112012,17,0003,003,LEYTON ELEMENTARY,45590,18.63,3,0.1875,12.77,,,,,,0.00,0.00,0.00,0.00,0.00,12.77,0.00,11/26/2012
SC,20122013,17,0003,003,LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,45968,16.50,3,0.1875,13.77,,,,,,0.00,0.00,0.00,0.00,0.00,13.77,0.00,07/05/2013
SC,20132014,17,0003,003,LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,45418,13.94,3,0.1875,13.75,,,,,,0.00,0.00,0.00,2.00,0.00,11.75,0.00,07/07/2014
SC,20142015,17,0003,003,LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,43678,16.06,4,0.2500,13.75,,,,,,0.00,0.00,0.00,2.00,0.00,11.75,0.00,08/19/2015
SC,20152016,17,0003,003,LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,47341,14.40,5,0.3333,13.50,,,,,,0.00,0.00,0.00,2.00,0.00,11.50,0.00,11/16/2016
DI,20112012,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,45698,19.00,6,0.2857,19.25,,,,,,0.00,0.00,0.00,0.00,0.00,19.25,0.00,11/26/2012
DI,20122013,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,45947,17.50,8,0.3636,20.25,,,,,,0.00,0.00,0.00,1.00,0.00,19.25,0.00,07/05/2013
DI,20132014,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,47129,16.83,9,0.3913,21.25,,,,,,0.00,0.00,0.00,1.00,0.00,20.25,0.00,07/07/2014
DI,20142015,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,45920,14.95,8,0.3636,21.25,,,,,,0.00,0.00,0.00,1.00,0.00,20.25,0.00,08/19/2015
DI,20152016,17,0009,000,POTTER-DIX PUBLIC SCHOOLS,47220,14.48,7,0.3333,20.25,,,,,,0.00,0.00,0.00,1.00,0.00,19.25,0.00,11/16/2016
SC,20112012,17,0009,001,POTTER-DIX JR/SR HIGH SCHOOL,44442,16.33,3,0.2500,10.50,,,,,,0.00,0.00,0.00,0.00,0.00,10.50,0.00,11/26/2012
SC,20122013,17,0009,001,POTTER-DIX JR/SR HIGH SCHOOL,46322,16.31,4,0.3077,11.50,,,,,,0.00,0.00,0.00,0.00,0.00,11.50,0.00,07/05/2013
SC,20132014,17,0009,001,POTTER-DIX JR/SR HIGH SCHOOL,46421,14.64,5,0.3571,12.50,,,,,,0.00,0.00,0.00,0.00,0.00,12.50,0.00,07/07/2014
SC,20142015,17,0009,001,POTTER-DIX JR/SR HIGH SCHOOL,44184,12.92,4,0.3077,12.25,,,,,,0.00,0.00,0.00,0.00,0.00,12.25,0.00,08/19/2015
SC,20152016,17,0009,001,POTTER-DIX JR/SR HIGH SCHOOL,44385,11.17,3,0.2500,11.25,,,,,,0.00,0.00,0.00,0.00,0.00,11.25,0.00,11/16/2016
SC,20112012,17,0009,003,POTTER-DIX ELEMENTARY SCHOOL,47304,23.00,3,0.3000,8.75,,,,,,0.00,0.00,0.00,0.00,0.00,8.75,0.00,11/26/2012
SC,20122013,17,0009,003,POTTER-DIX ELEMENTARY SCHOOL,45816,20.10,4,0.4000,8.75,,,,,,0.00,0.00,0.00,1.00,0.00,7.75,0.00,07/05/2013
SC,20132014,17,0009,003,POTTER-DIX ELEMENTARY SCHOOL,48462,21.10,4,0.4000,8.75,,,,,,0.00,0.00,0.00,1.00,0.00,7.75,0.00,07/07/2014
SC,20142015,17,0009,003,POTTER-DIX ELEMENTARY SCHOOL,48992,20.27,4,0.3636,9.00,,,,,,0.00,0.00,0.00,1.00,0.00,8.00,0.00,08/19/2015
SC,20152016,17,0009,003,POTTER-DIX ELEMENTARY SCHOOL,51787,21.27,4,0.3636,9.00,,,,,,0.00,0.00,0.00,1.00,0.00,8.00,0.00,11/16/2016
DI,20112012,18,0002,000,SUTTON PUBLIC SCHOOLS,42678,14.05,15,0.3947,36.72,,,,,,0.00,0.00,0.00,0.00,0.00,36.72,0.00,11/26/2012
DI,20122013,18,0002,000,SUTTON PUBLIC SCHOOLS,43941,14.16,17,0.4474,37.33,,,,,,0.00,0.00,0.00,0.00,0.00,37.33,0.00,07/05/2013
DI,20132014,18,0002,000,SUTTON PUBLIC SCHOOLS,44532,12.24,19,0.5000,37.45,,,,,,0.00,0.00,0.00,0.00,0.00,37.45,0.00,07/07/2014
DI,20142015,18,0002,000,SUTTON PUBLIC SCHOOLS,49580,12.54,18,0.4865,36.75,,,,,,0.00,0.00,0.00,0.00,0.00,36.75,0.00,08/19/2015
DI,20152016,18,0002,000,SUTTON PUBLIC SCHOOLS,47576,11.92,15,0.3947,38.00,,,,,,0.00,0.00,0.00,0.00,0.00,38.00,0.00,11/16/2016
SC,20112012,18,0002,001,SUTTON SECONDARY SCHOOL,43013,14.58,8,0.4211,16.25,,,,,,0.00,0.00,0.00,0.00,0.00,16.25,0.00,11/26/2012
SC,20122013,18,0002,001,SUTTON SECONDARY SCHOOL,43516,12.71,10,0.4762,16.49,,,,,,0.00,0.00,0.00,0.00,0.00,16.49,0.00,07/05/2013
SC,20132014,18,0002,001,SUTTON SECONDARY SCHOOL,43257,8.57,12,0.5714,17.06,,,,,,0.00,0.00,0.00,0.00,0.00,17.06,0.00,07/07/2014
SC,20142015,18,0002,001,SUTTON SECONDARY SCHOOL,49054,8.38,10,0.4762,17.06,,,,,,0.00,0.00,0.00,0.00,0.00,17.06,0.00,08/19/2015
SC,20152016,18,0002,001,SUTTON SECONDARY SCHOOL,45800,9.05,8,0.3810,17.38,,,,,,0.00,0.00,0.00,0.00,0.00,17.38,0.00,11/16/2016
SC,20112012,18,0002,002,SUTTON ELEMENTARY SCHOOL,41346,12.50,8,0.3333,20.47,,,,,,0.00,0.00,0.00,0.00,0.00,20.47,0.00,11/26/2012
SC,20122013,18,0002,002,SUTTON ELEMENTARY SCHOOL,42827,13.58,10,0.4167,20.84,,,,,,0.00,0.00,0.00,0.00,0.00,20.84,0.00,07/05/2013
SC,20132014,18,0002,002,SUTTON ELEMENTARY SCHOOL,44016,13.42,11,0.4583,20.39,,,,,,0.00,0.00,0.00,0.00,0.00,20.39,0.00,07/07/2014
SC,20142015,18,0002,002,SUTTON ELEMENTARY SCHOOL,48916,14.48,12,0.5217,19.69,,,,,,0.00,0.00,0.00,0.00,0.00,19.69,0.00,08/19/2015
SC,20152016,18,0002,002,SUTTON ELEMENTARY SCHOOL,47470,13.22,9,0.3913,20.62,,,,,,0.00,0.00,0.00,0.00,0.00,20.62,0.00,11/16/2016
DI,20112012,18,0011,000,HARVARD PUBLIC SCHOOLS,43182,13.12,5,0.1923,24.50,,,,,,1.00,0.00,0.00,2.00,0.00,21.50,0.00,11/26/2012
DI,20122013,18,0011,000,HARVARD PUBLIC SCHOOLS,42504,9.56,4,0.1481,25.00,,,,,,1.00,0.00,0.00,2.00,0.00,22.00,0.00,07/05/2013
DI,20132014,18,0011,000,HARVARD PUBLIC SCHOOLS,43069,9.41,9,0.3103,26.43,,,,,,1.00,0.00,0.00,2.00,0.00,23.43,0.00,07/07/2014
DI,20142015,18,0011,000,HARVARD PUBLIC SCHOOLS,44693,9.13,10,0.3333,28.18,,,,,,1.00,0.00,0.00,2.00,1.00,24.18,0.00,08/19/2015
DI,20152016,18,0011,000,HARVARD PUBLIC SCHOOLS,47369,11.29,13,0.4194,28.18,,,,,,1.00,0.00,1.00,2.00,1.00,23.18,0.00,11/16/2016
SC,20112012,18,0011,001,HARVARD HIGH SCHOOL,41399,8.88,5,0.2941,14.00,,,,,,0.50,0.00,0.00,1.15,0.00,12.35,0.00,11/26/2012
SC,20122013,18,0011,001,HARVARD HIGH SCHOOL,42957,8.81,4,0.2500,12.40,,,,,,0.50,0.00,0.00,1.15,0.00,10.75,0.00,07/05/2013
SC,20132014,18,0011,001,HARVARD HIGH SCHOOL,42818,8.61,7,0.3889,13.73,,,,,,0.80,0.00,0.00,1.25,0.00,11.68,0.00,07/07/2014
SC,20142015,18,0011,001,HARVARD HIGH SCHOOL,45148,9.35,8,0.4000,15.23,,,,,,0.80,0.00,0.00,1.25,1.00,12.18,0.00,08/19/2015
SC,20152016,18,0011,001,HARVARD HIGH SCHOOL,48739,10.53,10,0.5263,14.48,,,,,,0.80,0.00,0.50,1.25,1.00,10.93,0.00,11/16/2016
SC,20112012,18,0011,002,HARVARD ELEMENTARY SCHOOL,43200,16.71,0,0.0000,10.50,,,,,,0.50,0.00,0.00,0.85,0.00,9.15,0.00,11/26/2012
SC,20122013,18,0011,002,HARVARD ELEMENTARY SCHOOL,40832,8.63,0,0.0000,12.60,,,,,,0.50,0.00,0.00,0.85,0.00,11.25,0.00,07/05/2013
SC,20132014,18,0011,002,HARVARD ELEMENTARY SCHOOL,41563,8.53,2,0.1176,12.70,,,,,,0.20,0.00,0.00,0.75,0.00,11.75,0.00,07/07/2014
SC,20142015,18,0011,002,HARVARD ELEMENTARY SCHOOL,43039,7.47,2,0.1176,12.95,,,,,,0.20,0.00,0.00,0.75,0.00,12.00,0.00,08/19/2015
SC,20152016,18,0011,002,HARVARD ELEMENTARY SCHOOL,45405,10.56,4,0.2222,13.70,,,,,,0.20,0.00,0.50,0.75,0.00,12.25,0.00,11/16/2016
DI,20112012,19,0039,000,LEIGH COMMUNITY SCHOOLS,43034,20.25,9,0.4500,18.45,,,,,,0.00,0.00,0.00,0.00,0.00,18.45,0.00,11/26/2012
DI,20122013,19,0039,000,LEIGH COMMUNITY SCHOOLS,44044,20.00,9,0.4286,19.40,,,,,,0.00,0.00,0.00,0.00,0.00,19.40,0.00,07/05/2013
DI,20132014,19,0039,000,LEIGH COMMUNITY SCHOOLS,45983,20.81,10,0.4762,18.70,,,,,,0.00,0.00,0.00,0.00,0.00,18.70,0.00,07/07/2014
DI,20142015,19,0039,000,LEIGH COMMUNITY SCHOOLS,47616,18.90,10,0.4762,19.45,,,,,,0.00,0.00,0.00,0.00,0.00,19.45,0.00,08/19/2015
DI,20152016,19,0039,000,LEIGH COMMUNITY SCHOOLS,49032,18.43,8,0.3810,19.26,,,,,,0.00,0.00,0.00,0.00,0.00,19.26,0.00,11/16/2016
SC,20112012,19,0039,001,LEIGH HIGH SCHOOL,40720,19.85,2,0.1538,10.51,,,,,,0.00,0.00,0.00,0.00,0.00,10.51,0.00,11/26/2012
SC,20122013,19,0039,001,LEIGH HIGH SCHOOL,42911,20.85,2,0.1538,10.71,,,,,,0.00,0.00,0.00,0.00,0.00,10.71,0.00,07/05/2013
SC,20132014,19,0039,001,LEIGH HIGH SCHOOL,45047,23.17,3,0.2500,10.01,,,,,,0.00,0.00,0.00,0.00,0.00,10.01,0.00,07/07/2014
SC,20142015,19,0039,001,LEIGH HIGH SCHOOL,44776,17.77,3,0.2308,10.76,,,,,,0.00,0.00,0.00,0.00,0.00,10.76,0.00,08/19/2015
SC,20152016,19,0039,001,LEIGH HIGH SCHOOL,46652,16.69,2,0.1538,10.57,,,,,,0.00,0.00,0.00,0.00,0.00,10.57,0.00,11/16/2016
SC,20112012,19,0039,002,LEIGH ELEMENTARY SCHOOL,44668,20.45,7,0.6364,7.94,,,,,,0.00,0.00,0.00,0.00,0.00,7.94,0.00,11/26/2012
SC,20122013,19,0039,002,LEIGH ELEMENTARY SCHOOL,44513,18.36,7,0.6364,8.69,,,,,,0.00,0.00,0.00,0.00,0.00,8.69,0.00,07/05/2013
SC,20132014,19,0039,002,LEIGH ELEMENTARY SCHOOL,46556,18.91,7,0.6364,8.69,,,,,,0.00,0.00,0.00,0.00,0.00,8.69,0.00,07/07/2014
SC,20142015,19,0039,002,LEIGH ELEMENTARY SCHOOL,49221,19.82,7,0.6364,8.69,,,,,,0.00,0.00,0.00,0.00,0.00,8.69,0.00,08/19/2015
SC,20152016,19,0039,002,LEIGH ELEMENTARY SCHOOL,50280,20.45,6,0.5455,8.69,,,,,,0.00,0.00,0.00,0.00,0.00,8.69,0.00,11/16/2016
DI,20112012,19,0058,000,CLARKSON PUBLIC SCHOOLS,41892,13.62,6,0.2857,19.10,,,,,,0.00,0.00,0.00,0.00,0.00,19.10,0.00,11/26/2012
DI,20122013,19,0058,000,CLARKSON PUBLIC SCHOOLS,42101,14.14,7,0.3333,19.13,,,,,,0.00,0.00,0.00,0.00,0.00,19.13,0.00,07/05/2013
DI,20132014,19,0058,000,CLARKSON PUBLIC SCHOOLS,44347,14.55,7,0.3182,19.64,,,,,,0.00,0.00,0.00,0.00,0.00,19.64,0.00,07/07/2014
DI,20142015,19,0058,000,CLARKSON PUBLIC SCHOOLS,44328,14.04,5,0.2174,21.88,,,,,,0.00,0.00,0.00,0.00,0.00,21.88,0.00,08/19/2015
DI,20152016,19,0058,000,CLARKSON PUBLIC SCHOOLS,44942,14.17,5,0.2174,21.94,,,,,,0.00,0.00,0.00,0.00,0.00,21.94,0.00,11/16/2016
SC,20112012,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,42343,14.00,5,0.3125,11.08,,,,,,0.00,0.00,0.00,0.00,0.00,11.08,0.00,11/26/2012
SC,20122013,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,42593,14.56,6,0.3750,10.60,,,,,,0.00,0.00,0.00,0.00,0.00,10.60,0.00,07/05/2013
SC,20132014,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,45072,15.56,6,0.3750,10.60,,,,,,0.00,0.00,0.00,0.00,0.00,10.60,0.00,07/07/2014
SC,20142015,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,45857,15.87,4,0.2667,10.47,,,,,,0.00,0.00,0.00,0.00,0.00,10.47,0.00,08/19/2015
SC,20152016,19,0058,001,CLARKSON JR-SR HIGH SCHOOL,45822,15.60,4,0.2667,10.41,,,,,,0.00,0.00,0.00,0.00,0.00,10.41,0.00,11/16/2016
SC,20112012,19,0058,002,CLARKSON ELEMENTARY SCHOOL,41283,14.25,3,0.2500,8.02,,,,,,0.00,0.00,0.00,0.00,0.00,8.02,0.00,11/26/2012
SC,20122013,19,0058,002,CLARKSON ELEMENTARY SCHOOL,41301,13.92,4,0.3077,8.53,,,,,,0.00,0.00,0.00,0.00,0.00,8.53,0.00,07/05/2013
SC,20132014,19,0058,002,CLARKSON ELEMENTARY SCHOOL,43723,14.00,4,0.2857,9.04,,,,,,0.00,0.00,0.00,0.00,0.00,9.04,0.00,07/07/2014
SC,20142015,19,0058,002,CLARKSON ELEMENTARY SCHOOL,43142,12.69,3,0.1875,11.41,,,,,,0.00,0.00,0.00,0.00,0.00,11.41,0.00,08/19/2015
SC,20152016,19,0058,002,CLARKSON ELEMENTARY SCHOOL,43296,12.31,3,0.1875,11.53,,,,,,0.00,0.00,0.00,0.00,0.00,11.53,0.00,11/16/2016
DI,20122013,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,48462,18.10,6,0.2069,27.48,,,,,,0.00,0.00,0.00,0.00,0.00,27.48,0.00,07/05/2013
DI,20132014,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,48423,18.62,6,0.2069,27.11,,,,,,0.00,0.00,0.00,0.00,0.00,27.11,0.00,07/07/2014
DI,20142015,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,51208,19.52,7,0.2414,27.12,,,,,,0.00,0.00,0.00,0.00,0.00,27.12,0.00,08/19/2015
DI,20152016,19,0070,000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,51845,18.04,5,0.1852,24.87,,,,,,0.00,0.00,0.00,0.00,0.00,24.87,0.00,11/16/2016
SC,20122013,19,0070,001,HOWELLS SENIOR HIGH SCHOOL,47956,18.44,4,0.2222,11.11,,,,,,0.00,0.00,0.00,0.00,0.00,11.11,0.00,07/05/2013
SC,20132014,19,0070,001,HOWELLS SENIOR HIGH SCHOOL,49330,19.44,4,0.2222,11.86,,,,,,0.00,0.00,0.00,0.00,0.00,11.86,0.00,07/07/2014
SC,20142015,19,0070,001,HOWELLS SENIOR HIGH SCHOOL,52398,20.44,5,0.2778,11.98,,,,,,0.00,0.00,0.00,0.00,0.00,11.98,0.00,08/19/2015
SC,20152016,19,0070,001,HOWELLS SENIOR HIGH SCHOOL,53415,18.28,4,0.2222,14.95,,,,,,0.00,0.00,0.00,0.00,0.00,14.95,0.00,11/16/2016
SC,20122013,19,0070,002,HOWELLS ELEMENTARY SCHOOL,49096,10.71,1,0.1429,3.88,,,,,,0.00,0.00,0.00,0.00,0.00,3.88,0.00,07/05/2013
SC,20132014,19,0070,002,HOWELLS ELEMENTARY SCHOOL,47141,12.57,2,0.2857,3.51,,,,,,0.00,0.00,0.00,0.00,0.00,3.51,0.00,07/07/2014
SC,20142015,19,0070,002,HOWELLS-DODGE ELEMENTARY SCHOOL/HOWELLS,49833,13.14,3,0.4286,3.51,,,,,,0.00,0.00,0.00,0.00,0.00,3.51,0.00,08/19/2015
SC,20152016,19,0070,002,HOWELLS-DODGE ELEMENTARY SCHOOL/HOWELLS,49877,12.83,1,0.1667,3.52,,,,,,0.00,0.00,0.00,0.00,0.00,3.52,0.00,11/16/2016
SC,20122013,19,0070,003,DODGE ELEMENTARY SCHOOL,48887,20.05,4,0.2105,12.49,,,,,,0.00,0.00,0.00,0.00,0.00,12.49,0.00,07/05/2013
SC,20132014,19,0070,003,DODGE ELEMENTARY SCHOOL,49551,19.63,4,0.2105,11.74,,,,,,0.00,0.00,0.00,0.00,0.00,11.74,0.00,07/07/2014
SC,20142015,19,0070,003,HOWELLS-DODGE ELEMENTARY SCHOOL/DODGE,52767,21.45,5,0.2500,11.63,,,,,,0.00,0.00,0.00,0.00,0.00,11.63,0.00,08/19/2015
SC,20152016,19,0070,003,HOWELLS-DODGE ELEMENTARY SCHOOL/DODGE,56287,21.30,3,0.3000,6.40,,,,,,0.00,0.00,0.00,0.00,0.00,6.40,0.00,11/16/2016
DI,20112012,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,47532,15.50,60,0.4545,130.76,,,,,,0.00,0.00,0.00,0.00,0.00,130.76,0.00,11/26/2012
DI,20122013,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,47218,15.79,55,0.4297,126.65,,,,,,0.00,0.00,0.00,0.00,0.00,126.65,0.00,07/05/2013
DI,20132014,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,47458,15.56,56,0.4242,130.66,,,,,,0.00,0.00,0.00,1.00,0.00,129.66,0.00,07/07/2014
DI,20142015,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,47297,13.83,54,0.3913,136.66,,,,,,0.00,0.00,0.00,3.00,0.00,133.66,0.00,08/19/2015
DI,20152016,19,0123,000,SCHUYLER COMMUNITY SCHOOLS,47539,12.95,50,0.3623,136.36,,,,,,1.00,0.00,0.00,3.00,0.00,132.36,0.00,11/16/2016
SC,20112012,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,47125,14.62,22,0.5641,36.70,,,,,,0.00,0.00,0.00,0.00,0.00,36.70,0.00,11/26/2012
SC,20122013,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,47473,16.41,22,0.5641,35.70,,,,,,0.00,0.00,0.00,0.00,0.00,35.70,0.00,07/05/2013
SC,20132014,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,47688,15.36,22,0.5238,38.11,,,,,,0.00,0.00,0.00,0.00,0.00,38.11,0.00,07/07/2014
SC,20142015,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,48386,13.93,23,0.5227,40.02,,,,,,0.00,0.00,0.00,0.20,0.00,39.82,0.00,08/19/2015
SC,20152016,19,0123,001,SCHUYLER CENTRAL HIGH SCHOOL,47784,12.11,22,0.5000,40.09,,,,,,0.00,0.00,0.00,0.20,0.00,39.89,0.00,11/16/2016
SC,20112012,19,0123,002,RICHLAND ELEMENTARY SCHOOL,51907,20.57,3,0.4286,4.64,,,,,,0.00,0.00,0.00,0.00,0.00,4.64,0.00,11/26/2012
SC,20122013,19,0123,002,RICHLAND ELEMENTARY SCHOOL,50352,21.60,2,0.4000,3.55,,,,,,0.00,0.00,0.00,0.00,0.00,3.55,0.00,07/05/2013
SC,20132014,19,0123,002,RICHLAND ELEMENTARY SCHOOL,54864,24.60,2,0.4000,3.62,,,,,,0.00,0.00,0.00,0.00,0.00,3.62,0.00,07/07/2014
SC,20142015,19,0123,002,RICHLAND ELEMENTARY SCHOOL,54583,22.83,3,0.5000,3.87,,,,,,0.00,0.00,0.00,0.00,0.00,3.87,0.00,08/19/2015
SC,20152016,19,0123,002,RICHLAND ELEMENTARY SCHOOL,54275,22.20,3,0.6000,3.47,,,,,,0.00,0.00,0.00,0.00,0.00,3.47,0.00,11/16/2016
SC,20112012,19,0123,003,SCHUYLER ELEMENTARY SCHOOL,47611,14.40,17,0.4048,41.50,,,,,,0.00,0.00,0.00,0.00,0.00,41.50,0.00,11/26/2012
SC,20122013,19,0123,003,SCHUYLER ELEMENTARY SCHOOL,46732,14.30,20,0.3774,52.10,,,,,,0.00,0.00,0.00,0.00,0.00,52.10,0.00,07/05/2013
SC,20132014,19,0123,003,SCHUYLER ELEMENTARY SCHOOL,46347,14.04,21,0.3750,54.55,,,,,,0.00,0.00,0.00,0.00,0.00,54.55,0.00,07/07/2014
SC,20142015,19,0123,003,SCHUYLER ELEMENTARY SCHOOL,44895,11.93,17,0.2982,55.05,,,,,,0.00,0.00,0.00,1.00,0.00,54.05,0.00,08/19/2015
SC,20152016,19,0123,003,SCHUYLER ELEMENTARY SCHOOL,45634,11.02,15,0.2586,56.05,,,,,,0.00,0.00,0.00,1.00,0.00,55.05,0.00,11/16/2016
SC,20112012,19,0123,005,SCHUYLER ELEMENTARY-FISHER'S,48707,15.50,4,0.5000,5.05,,,,,,0.00,0.00,0.00,0.00,0.00,5.05,0.00,11/26/2012
SC,20122013,19,0123,005,SCHUYLER ELEMENTARY-FISHER'S,46912,20.17,3,0.5000,4.55,,,,,,0.00,0.00,0.00,0.00,0.00,4.55,0.00,07/05/2013
SC,20132014,19,0123,005,SCHUYLER ELEMENTARY-FISHER'S,50300,21.17,3,0.5000,4.63,,,,,,0.00,0.00,0.00,0.00,0.00,4.63,0.00,07/07/2014
SC,20142015,19,0123,005,SCHUYLER ELEMENTARY-FISHER'S,51878,20.29,4,0.5714,4.88,,,,,,0.00,0.00,0.00,0.00,0.00,4.88,0.00,08/19/2015
SC,20152016,19,0123,005,SCHUYLER ELEMENTARY-FISHER'S,52170,19.50,4,0.6667,4.48,,,,,,0.00,0.00,0.00,0.00,0.00,4.48,0.00,11/16/2016
SC,20112012,19,0123,006,SCHUYLER ELEMENTARY 4R,51686,19.60,2,0.4000,2.55,,,,,,0.00,0.00,0.00,0.00,0.00,2.55,0.00,11/26/2012
SC,20122013,19,0123,006,SCHUYLER ELEMENTARY 4R,47069,27.00,0,0.0000,1.20,,,,,,0.00,0.00,0.00,0.00,0.00,1.20,0.00,07/05/2013
SC,20112012,19,0123,008,SCHUYLER MIDDLE SCHOOL,47338,16.35,17,0.4250,36.81,,,,,,0.00,0.00,0.00,0.00,0.00,36.81,0.00,11/26/2012
SC,20122013,19,0123,008,SCHUYLER MIDDLE SCHOOL,46423,15.86,10,0.3571,25.55,,,,,,0.00,0.00,0.00,0.00,0.00,25.55,0.00,07/05/2013
SC,20132014,19,0123,008,SCHUYLER MIDDLE SCHOOL,47492,17.17,11,0.3667,25.75,,,,,,0.00,0.00,0.00,1.00,0.00,24.75,0.00,07/07/2014
SC,20142015,19,0123,008,SCHUYLER MIDDLE SCHOOL,48364,14.56,11,0.3438,27.84,,,,,,0.00,0.00,0.00,1.80,0.00,26.04,0.00,08/19/2015
SC,20152016,19,0123,008,SCHUYLER MIDDLE SCHOOL,48147,15.26,10,0.3226,27.27,,,,,,1.00,0.00,0.00,1.80,0.00,24.47,0.00,11/16/2016
SC,20112012,19,0123,009,NORTH WARD PREKINDERGARTEN,40212,7.00,1,0.3333,2.51,,,,,,0.00,0.00,0.00,0.00,0.00,2.51,0.00,11/26/2012
SC,20122013,19,0123,009,NORTH WARD PREKINDERGARTEN,41908,8.00,1,0.3333,3.00,,,,,,0.00,0.00,0.00,0.00,0.00,3.00,0.00,07/05/2013
SC,20132014,19,0123,009,NORTH WARD PREKINDERGARTEN,43992,8.33,1,0.3333,3.00,,,,,,0.00,0.00,0.00,0.00,0.00,3.00,0.00,07/07/2014
