Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf
SC,20152016,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,54209,17.41,52,0.7027,71.04,,,,,,0.00,0.00,0.00,2.00,1.00,68.04,0.00,11/16/2016
SC,20112012,01,0018,002,HASTINGS MIDDLE SCHOOL,49027,14.44,32,0.5926,49.27,,,,,,0.00,0.00,1.00,0.00,0.00,48.27,0.00,11/26/2012
SC,20122013,01,0018,002,HASTINGS MIDDLE SCHOOL,49941,14.89,35,0.6364,50.56,,,,,,0.00,0.00,1.00,0.00,0.00,49.56,0.00,07/05/2013
SC,20132014,01,0018,002,HASTINGS MIDDLE SCHOOL,50213,15.57,37,0.6607,52.05,,,,,,0.00,0.00,1.00,0.00,0.00,51.05,0.00,07/07/2014
SC,20142015,01,0018,002,HASTINGS MIDDLE SCHOOL,50811,14.74,34,0.5965,54.06,,,,,,0.00,0.00,1.00,1.00,0.00,52.06,0.00,08/19/2015
SC,20152016,01,0018,002,HASTINGS MIDDLE SCHOOL,51733,15.35,32,0.5614,53.60,,,,,,0.00,0.00,1.00,1.00,0.00,51.60,0.00,11/16/2016
SC,20112012,01,0018,003,ALCOTT ELEMENTARY SCHOOL,49928,15.60,12,0.4800,23.65,,,,,,0.00,0.00,0.00,1.00,0.00,22.65,0.00,11/26/2012
SC,20122013,01,0018,003,ALCOTT ELEMENTARY SCHOOL,50344,15.64,13,0.5200,23.65,,,,,,0.00,0.00,0.00,1.00,0.00,22.65,0.00,07/05/2013
SC,20132014,01,0018,003,ALCOTT ELEMENTARY SCHOOL,51348,14.74,14,0.6087,21.89,,,,,,0.00,0.00,0.00,1.00,0.00,20.89,0.00,07/07/2014
SC,20142015,01,0018,003,ALCOTT ELEMENTARY SCHOOL,52524,14.57,13,0.5652,20.80,,,,,,0.00,0.00,0.00,0.00,0.00,20.80,0.00,08/19/2015
SC,20152016,01,0018,003,ALCOTT ELEMENTARY SCHOOL,53814,15.27,13,0.5909,19.80,,,,,,0.00,0.00,0.00,0.00,0.00,19.80,0.00,11/16/2016
SC,20112012,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,50584,15.59,16,0.5517,24.52,,,,,,0.00,0.00,0.00,0.00,0.00,24.52,0.00,11/26/2012
SC,20122013,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,52104,16.04,17,0.6071,24.12,,,,,,0.00,0.00,0.00,0.00,0.00,24.12,0.00,07/05/2013
SC,20132014,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,52356,16.58,15,0.6250,21.14,,,,,,0.00,0.00,0.00,0.00,0.00,21.14,0.00,07/07/2014
SC,20142015,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,51206,14.30,14,0.6087,20.90,,,,,,0.00,0.00,0.00,0.00,0.00,20.90,0.00,08/19/2015
SC,20152016,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,50451,14.09,12,0.5217,20.90,,,,,,0.00,0.00,0.00,0.00,0.00,20.90,0.00,11/16/2016
SC,20112012,01,0018,005,LINCOLN ELEMENTARY SCHOOL,51568,18.56,13,0.4815,24.65,,,,,,0.00,1.00,1.00,0.00,0.00,22.65,0.00,11/26/2012
SC,20122013,01,0018,005,LINCOLN ELEMENTARY SCHOOL,50414,18.08,12,0.4615,23.65,,,,,,0.00,0.00,1.00,0.00,0.00,22.65,0.00,07/05/2013
SC,20132014,01,0018,005,LINCOLN ELEMENTARY SCHOOL,49994,19.44,11,0.4400,22.65,,,,,,0.00,0.00,0.00,0.00,0.00,22.65,0.00,07/07/2014
SC,20142015,01,0018,005,LINCOLN ELEMENTARY SCHOOL,51626,16.54,12,0.5000,21.67,,,,,,0.00,0.00,1.00,0.00,0.00,20.67,0.00,08/19/2015
SC,20152016,01,0018,005,LINCOLN ELEMENTARY SCHOOL,55236,17.58,12,0.5000,21.67,,,,,,0.00,0.00,1.00,0.00,0.00,20.67,0.00,11/16/2016
SC,20112012,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,46662,13.79,15,0.5172,25.40,,,,,,0.00,0.00,0.00,1.00,0.00,24.40,0.00,11/26/2012
SC,20122013,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,47540,13.13,16,0.5333,26.40,,,,,,0.00,0.00,0.00,1.00,0.00,25.40,0.00,07/05/2013
SC,20132014,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,47849,13.26,16,0.5161,27.40,,,,,,0.00,0.00,0.00,2.00,0.00,25.40,0.00,07/07/2014
SC,20142015,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,49169,12.73,15,0.5000,26.20,,,,,,0.00,0.00,0.00,2.00,0.00,24.20,0.00,08/19/2015
SC,20152016,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,49982,12.67,14,0.4667,26.20,,,,,,0.00,0.00,0.00,2.00,0.00,24.20,0.00,11/16/2016
SC,20112012,01,0018,007,MORTON ELEMENTARY SCHOOL,51329,18.00,15,0.6522,19.70,,,,,,1.00,0.00,0.00,0.00,0.00,18.70,0.00,11/26/2012
SC,20122013,01,0018,007,MORTON ELEMENTARY SCHOOL,48361,15.21,13,0.5417,21.01,,,,,,1.00,0.00,0.00,0.00,0.00,20.01,0.00,07/05/2013
SC,20132014,01,0018,007,MORTON ELEMENTARY SCHOOL,49971,16.69,15,0.5769,22.89,,,,,,1.00,0.00,0.00,0.00,0.00,21.89,0.00,07/07/2014
SC,20142015,01,0018,007,MORTON ELEMENTARY SCHOOL,50111,14.46,14,0.5833,22.24,,,,,,1.00,0.00,0.00,0.00,0.00,21.24,0.00,08/19/2015
SC,20152016,01,0018,007,MORTON ELEMENTARY SCHOOL,50400,13.08,14,0.5833,22.05,,,,,,1.00,0.00,0.00,0.00,0.00,21.05,0.00,11/16/2016
SC,20112012,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,51446,19.25,10,0.6250,12.50,,,,,,0.00,0.00,0.00,0.00,0.00,12.50,0.00,11/26/2012
SC,20122013,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,50788,18.83,10,0.5556,13.45,,,,,,0.00,0.00,0.00,0.00,0.00,13.45,0.00,07/05/2013
SC,20132014,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,50287,18.17,8,0.4444,13.45,,,,,,0.00,0.00,0.25,0.00,0.00,13.20,0.00,07/07/2014
SC,20142015,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,48520,15.40,5,0.3333,11.24,,,,,,0.00,0.00,0.00,0.00,0.00,11.24,0.00,08/19/2015
SC,20152016,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,50235,16.06,6,0.3750,12.18,,,,,,0.00,0.00,0.00,0.00,0.00,12.18,0.00,11/16/2016
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,49163,18.35,32,0.4638,67.77,,,,,,0.00,0.00,0.00,0.00,0.00,67.77,0.00,11/26/2012
DI,20122013,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,50412,18.27,30,0.4762,63.00,,,,,,0.00,0.00,0.00,0.00,0.00,63.00,0.00,07/05/2013
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,52377,19.75,32,0.5079,62.37,,,,,,0.00,0.00,0.00,0.00,0.00,62.37,0.00,07/07/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,53124,18.48,31,0.4769,63.37,,,,,,0.00,0.00,0.00,0.00,0.00,63.37,0.00,08/19/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,55557,18.57,36,0.5538,64.33,,,,,,0.00,0.00,0.00,0.00,0.00,64.33,0.00,11/16/2016
SC,20112012,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,50501,18.69,21,0.6000,33.69,,,,,,0.00,0.00,0.00,0.00,0.00,33.69,0.00,11/26/2012
SC,20122013,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,52501,18.76,22,0.6471,33.70,,,,,,0.00,0.00,0.00,0.00,0.00,33.70,0.00,07/05/2013
SC,20132014,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,54438,19.91,22,0.6471,33.40,,,,,,0.00,0.00,0.00,0.00,0.00,33.40,0.00,07/07/2014
SC,20142015,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,54428,18.19,21,0.5833,34.40,,,,,,0.00,0.00,0.00,0.00,0.00,34.40,0.00,08/19/2015
