Type,School Year,County,District,School,Agency Name,FRL Percentage,DataAsOf
ST,20012002,00,0000,000,STATE OF NEBRASKA,0.3123,11/09/2012
ST,20022003,00,0000,000,STATE OF NEBRASKA,0.3241,11/09/2012
ST,20032004,00,0000,000,STATE OF NEBRASKA,0.3393,11/09/2012
ST,20042005,00,0000,000,STATE OF NEBRASKA,0.3479,11/09/2012
ST,20052006,00,0000,000,STATE OF NEBRASKA,0.3464,11/09/2012
ST,20062007,00,0000,000,STATE OF NEBRASKA,0.3642,11/09/2012
ST,20072008,00,0000,000,STATE OF NEBRASKA,0.3733,11/09/2012
ST,20082009,00,0000,000,STATE OF NEBRASKA,0.3835,11/09/2012
ST,20092010,00,0000,000,STATE OF NEBRASKA,0.4122,11/09/2012
ST,20102011,00,0000,000,STATE OF NEBRASKA,0.4258,11/09/2012
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.4379,11/09/2012
ST,20122013,00,0000,000,STATE OF NEBRASKA,0.4418,09/10/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.4493,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.4417,06/23/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.4412,12/12/2016
LC,20082009,00,9000,000,LEARNING COMMUNITY,0.3695,11/09/2012
LC,20092010,00,9000,000,LEARNING COMMUNITY,0.3997,11/09/2012
LC,20102011,00,9000,000,LEARNING COMMUNITY,0.4198,11/09/2012
LC,20112012,00,9000,000,LEARNING COMMUNITY,0.4361,11/09/2012
LC,20132014,00,9000,000,LEARNING COMMUNITY,0.4458,07/07/2014
LC,20142015,00,9000,000,LEARNING COMMUNITY,0.4398,06/23/2015
LC,20152016,00,9000,000,LEARNING COMMUNITY,0.4435,12/12/2016
NT,20032004,00,9099,000,NORTHERN TIER,0.4980,11/09/2012
NT,20042005,00,9099,000,NORTHERN TIER,0.5074,11/09/2012
NT,20052006,00,9099,000,NORTHERN TIER,0.5098,11/09/2012
NT,20062007,00,9099,000,NORTHERN TIER,0.5191,11/09/2012
NT,20072008,00,9099,000,NORTHERN TIER,0.5063,11/09/2012
NT,20082009,00,9099,000,NORTHERN TIER,0.4941,11/09/2012
NT,20092010,00,9099,000,NORTHERN TIER,0.5276,11/09/2012
NT,20102011,00,9099,000,NORTHERN TIER,0.5268,11/09/2012
NT,20112012,00,9099,000,NORTHERN TIER,0.5084,11/09/2012
NT,20132014,00,9099,000,NORTHERN TIER,0.5384,07/07/2014
NT,20142015,00,9099,000,NORTHERN TIER,0.5565,06/23/2015
NT,20152016,00,9099,000,NORTHERN TIER,0.5339,12/12/2016
DI,20012002,01,0001,000,JUNIATA ELEMENTARY SCHOOL,0.3145,11/09/2012
DI,20022003,01,0001,000,JUNIATA ELEMENTARY SCHOOL,0.3507,11/09/2012
DI,20032004,01,0001,000,JUNIATA ELEMENTARY SCHOOL,0.3254,11/09/2012
DI,20042005,01,0001,000,JUNIATA ELEMENTARY SCHOOL,0.3158,11/09/2012
DI,20052006,01,0001,000,JUNIATA ELEMENTARY SCHOOL,0.3482,11/09/2012
SC,20012002,01,0001,001,JUNIATA ELEMENTARY SCHOOL,0.3145,11/09/2012
SC,20022003,01,0001,001,JUNIATA ELEMENTARY SCHOOL,0.3507,11/09/2012
SC,20032004,01,0001,001,JUNIATA ELEMENTARY SCHOOL,0.3254,11/09/2012
SC,20042005,01,0001,001,JUNIATA ELEMENTARY SCHOOL,0.3158,11/09/2012
SC,20052006,01,0001,001,JUNIATA ELEMENTARY SCHOOL,0.3482,11/09/2012
DI,20012002,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2581,11/09/2012
DI,20022003,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1868,11/09/2012
DI,20032004,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2085,11/09/2012
DI,20042005,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2249,11/09/2012
DI,20052006,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1712,11/09/2012
DI,20062007,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1938,11/09/2012
DI,20072008,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2366,11/09/2012
DI,20082009,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2164,11/09/2012
DI,20092010,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1882,11/09/2012
DI,20102011,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2776,11/09/2012
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2143,11/09/2012
DI,20122013,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1480,09/10/2013
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1852,07/07/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2388,06/23/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,0.2833,12/12/2016
SC,20012002,01,0003,001,KENESAW SECONDARY SCHOOL,0.2679,11/09/2012
SC,20022003,01,0003,001,KENESAW SECONDARY SCHOOL,0.1947,11/09/2012
SC,20032004,01,0003,001,KENESAW SECONDARY SCHOOL,0.1780,11/09/2012
SC,20042005,01,0003,001,KENESAW SECONDARY SCHOOL,0.2656,11/09/2012
SC,20052006,01,0003,001,KENESAW SECONDARY SCHOOL,0.1783,11/09/2012
SC,20062007,01,0003,001,KENESAW SECONDARY SCHOOL,0.1942,11/09/2012
SC,20072008,01,0003,001,KENESAW SECONDARY SCHOOL,0.2483,11/09/2012
SC,20082009,01,0003,001,KENESAW SECONDARY SCHOOL,0.2083,11/09/2012
SC,20092010,01,0003,001,KENESAW SECONDARY SCHOOL,0.1838,11/09/2012
SC,20102011,01,0003,001,KENESAW SECONDARY SCHOOL,0.2391,11/09/2012
SC,20112012,01,0003,001,KENESAW SECONDARY SCHOOL,0.1709,11/09/2012
SC,20122013,01,0003,001,KENESAW SECONDARY SCHOOL,0.1284,09/10/2013
SC,20132014,01,0003,001,KENESAW SECONDARY SCHOOL,0.1364,07/07/2014
SC,20142015,01,0003,001,KENESAW SECONDARY SCHOOL,0.2295,06/23/2015
SC,20152016,01,0003,001,KENESAW SECONDARY SCHOOL,0.2481,12/12/2016
SC,20012002,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2500,11/09/2012
SC,20022003,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1806,11/09/2012
SC,20032004,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2340,11/09/2012
SC,20042005,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1818,11/09/2012
SC,20052006,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1641,11/09/2012
SC,20062007,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1933,11/09/2012
SC,20072008,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2212,11/09/2012
SC,20082009,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2258,11/09/2012
SC,20092010,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1926,11/09/2012
SC,20102011,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.3147,11/09/2012
SC,20112012,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2562,11/09/2012
SC,20122013,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.1667,09/10/2013
SC,20132014,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2256,07/07/2014
SC,20142015,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.2466,06/23/2015
SC,20152016,01,0003,002,KENESAW ELEMENTARY SCHOOL,0.3110,12/12/2016
DI,20012002,01,0011,000,HOLSTEIN PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20022003,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.5500,11/09/2012
DI,20032004,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.5714,11/09/2012
DI,20042005,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.6111,11/09/2012
DI,20052006,01,0011,000,HOLSTEIN PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0011,001,HOLSTEIN PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20022003,01,0011,001,HOLSTEIN PUBLIC SCHOOL,0.5500,11/09/2012
SC,20032004,01,0011,001,HOLSTEIN PUBLIC SCHOOL,0.5714,11/09/2012
SC,20042005,01,0011,001,HOLSTEIN PUBLIC SCHOOL,0.6111,11/09/2012
SC,20052006,01,0011,001,HOLSTEIN PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0015,000,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
DI,20022003,01,0015,000,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
DI,20032004,01,0015,000,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
DI,20042005,01,0015,000,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
DI,20052006,01,0015,000,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
SC,20012002,01,0015,001,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
SC,20022003,01,0015,001,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
SC,20032004,01,0015,001,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
SC,20042005,01,0015,001,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
SC,20052006,01,0015,001,DIST 015 - ADAMS COUNTY,-1.0000,11/09/2012
DI,20012002,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.3174,11/09/2012
DI,20022003,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.3523,11/09/2012
DI,20032004,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.4114,11/09/2012
DI,20042005,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.4319,11/09/2012
DI,20052006,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.4578,11/09/2012
DI,20062007,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.4550,11/09/2012
DI,20072008,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.4762,11/09/2012
DI,20082009,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5034,11/09/2012
DI,20092010,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5188,11/09/2012
DI,20102011,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5439,11/09/2012
DI,20112012,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5718,11/09/2012
DI,20122013,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5663,09/10/2013
DI,20132014,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5866,07/07/2014
DI,20142015,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.6022,06/23/2015
DI,20152016,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.5943,12/12/2016
SC,20012002,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.2111,11/09/2012
SC,20022003,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.2433,11/09/2012
SC,20032004,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.3058,11/09/2012
SC,20042005,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.3367,11/09/2012
SC,20052006,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.3568,11/09/2012
SC,20062007,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.3337,11/09/2012
SC,20072008,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.3852,11/09/2012
SC,20082009,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.4187,11/09/2012
SC,20092010,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.4295,11/09/2012
SC,20102011,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.4461,11/09/2012
SC,20112012,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.4985,11/09/2012
SC,20122013,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.5084,09/10/2013
SC,20132014,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.5419,07/07/2014
SC,20142015,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.5485,06/23/2015
SC,20152016,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.5287,12/12/2016
SC,20012002,01,0018,002,HASTINGS MIDDLE SCHOOL,0.3662,11/09/2012
SC,20022003,01,0018,002,HASTINGS MIDDLE SCHOOL,0.4124,11/09/2012
SC,20032004,01,0018,002,HASTINGS MIDDLE SCHOOL,0.4363,11/09/2012
SC,20042005,01,0018,002,HASTINGS MIDDLE SCHOOL,0.4767,11/09/2012
SC,20052006,01,0018,002,HASTINGS MIDDLE SCHOOL,0.4773,11/09/2012
SC,20062007,01,0018,002,HASTINGS MIDDLE SCHOOL,0.4593,11/09/2012
SC,20072008,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5065,11/09/2012
SC,20082009,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5179,11/09/2012
SC,20092010,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5770,11/09/2012
SC,20102011,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5674,11/09/2012
SC,20112012,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5779,11/09/2012
SC,20122013,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5791,09/10/2013
SC,20132014,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5721,07/07/2014
SC,20142015,01,0018,002,HASTINGS MIDDLE SCHOOL,0.6012,06/23/2015
SC,20152016,01,0018,002,HASTINGS MIDDLE SCHOOL,0.5886,12/12/2016
SC,20012002,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.4042,11/09/2012
SC,20022003,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.4639,11/09/2012
SC,20032004,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.5468,11/09/2012
SC,20042005,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.6060,11/09/2012
SC,20052006,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.6375,11/09/2012
SC,20062007,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.6656,11/09/2012
SC,20072008,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7279,11/09/2012
SC,20082009,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7143,11/09/2012
SC,20092010,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7301,11/09/2012
SC,20102011,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7585,11/09/2012
SC,20112012,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7874,11/09/2012
SC,20122013,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7695,09/10/2013
SC,20132014,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7405,07/07/2014
SC,20142015,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.8097,06/23/2015
SC,20152016,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.7817,12/12/2016
SC,20012002,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.1662,11/09/2012
SC,20022003,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.1662,11/09/2012
SC,20032004,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.2168,11/09/2012
SC,20042005,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.2366,11/09/2012
SC,20052006,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.2901,11/09/2012
SC,20062007,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.2982,11/09/2012
SC,20072008,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.3045,11/09/2012
SC,20082009,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.3407,11/09/2012
SC,20092010,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.3399,11/09/2012
SC,20102011,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.3605,11/09/2012
SC,20112012,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.4139,11/09/2012
SC,20122013,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.4361,09/10/2013
SC,20132014,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.4970,07/07/2014
SC,20142015,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.4620,06/23/2015
SC,20152016,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.4669,12/12/2016
SC,20012002,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.6122,11/09/2012
SC,20022003,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.6800,11/09/2012
SC,20032004,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.7484,11/09/2012
SC,20042005,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.7508,11/09/2012
SC,20052006,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8526,11/09/2012
SC,20062007,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8116,11/09/2012
SC,20072008,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8372,11/09/2012
SC,20082009,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8520,11/09/2012
SC,20092010,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8697,11/09/2012
SC,20102011,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8613,11/09/2012
SC,20112012,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8857,11/09/2012
SC,20122013,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8379,09/10/2013
SC,20132014,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8418,07/07/2014
SC,20142015,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.8852,06/23/2015
SC,20152016,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.9020,12/12/2016
SC,20012002,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.3782,11/09/2012
SC,20022003,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.3725,11/09/2012
SC,20032004,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4734,11/09/2012
SC,20042005,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4119,11/09/2012
SC,20052006,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4674,11/09/2012
SC,20062007,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4938,11/09/2012
SC,20072008,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4278,11/09/2012
SC,20082009,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4971,11/09/2012
SC,20092010,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4391,11/09/2012
SC,20102011,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.5316,11/09/2012
SC,20112012,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.5455,11/09/2012
SC,20122013,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.4733,09/10/2013
SC,20132014,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.5228,07/07/2014
SC,20142015,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.5459,06/23/2015
SC,20152016,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.5310,12/12/2016
SC,20012002,01,0018,007,MORTON ELEMENTARY SCHOOL,0.4264,11/09/2012
SC,20022003,01,0018,007,MORTON ELEMENTARY SCHOOL,0.4654,11/09/2012
SC,20032004,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5465,11/09/2012
SC,20042005,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5842,11/09/2012
SC,20052006,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5756,11/09/2012
SC,20062007,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5756,11/09/2012
SC,20072008,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5552,11/09/2012
SC,20082009,01,0018,007,MORTON ELEMENTARY SCHOOL,0.5664,11/09/2012
SC,20092010,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6062,11/09/2012
SC,20102011,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6475,11/09/2012
SC,20112012,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6715,11/09/2012
SC,20122013,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6431,09/10/2013
SC,20132014,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6185,07/07/2014
SC,20142015,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6506,06/23/2015
SC,20152016,01,0018,007,MORTON ELEMENTARY SCHOOL,0.6561,12/12/2016
SC,20012002,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1079,11/09/2012
SC,20022003,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1277,11/09/2012
SC,20032004,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1154,11/09/2012
SC,20042005,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1206,11/09/2012
SC,20052006,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1474,11/09/2012
SC,20062007,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1923,11/09/2012
SC,20072008,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.1611,11/09/2012
SC,20082009,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.2256,11/09/2012
SC,20092010,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.2444,11/09/2012
SC,20102011,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.3739,11/09/2012
SC,20112012,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.3317,11/09/2012
SC,20122013,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.4037,09/10/2013
SC,20132014,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.4676,07/07/2014
SC,20142015,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.3825,06/23/2015
SC,20152016,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,0.4046,12/12/2016
DI,20012002,01,0029,000,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20022003,01,0029,000,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20032004,01,0029,000,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20042005,01,0029,000,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0029,001,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20022003,01,0029,001,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20032004,01,0029,001,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20042005,01,0029,001,RISING STAR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0033,000,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20022003,01,0033,000,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20032004,01,0033,000,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20042005,01,0033,000,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20052006,01,0033,000,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0033,001,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20022003,01,0033,001,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20032004,01,0033,001,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20042005,01,0033,001,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20052006,01,0033,001,TRI-VIEW PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0053,000,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20022003,01,0053,000,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20032004,01,0053,000,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20042005,01,0053,000,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20052006,01,0053,000,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0053,001,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20022003,01,0053,001,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20032004,01,0053,001,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20042005,01,0053,001,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20052006,01,0053,001,AYR PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0060,000,WALLACE PUBLIC SCHOOL,0.1094,11/09/2012
DI,20022003,01,0060,000,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20032004,01,0060,000,WALLACE PUBLIC SCHOOL,0.0985,11/09/2012
DI,20042005,01,0060,000,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20052006,01,0060,000,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0060,001,WALLACE PUBLIC SCHOOL,0.1094,11/09/2012
SC,20022003,01,0060,001,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20032004,01,0060,001,WALLACE PUBLIC SCHOOL,0.0985,11/09/2012
SC,20042005,01,0060,001,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20052006,01,0060,001,WALLACE PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0075,000,HANOVER PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20022003,01,0075,000,HANOVER PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20012002,01,0075,001,HANOVER PUBLIC SCHOOL,-1.0000,11/09/2012
SC,20022003,01,0075,001,HANOVER PUBLIC SCHOOL,-1.0000,11/09/2012
DI,20012002,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.1267,11/09/2012
DI,20022003,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.1264,11/09/2012
DI,20032004,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.1585,11/09/2012
DI,20042005,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.1520,11/09/2012
DI,20052006,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.1413,11/09/2012
DI,20062007,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1780,11/09/2012
DI,20072008,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1699,11/09/2012
DI,20082009,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1615,11/09/2012
DI,20092010,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1427,11/09/2012
DI,20102011,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1512,11/09/2012
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1408,11/09/2012
DI,20122013,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1480,09/10/2013
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1842,07/07/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1809,06/23/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1767,12/12/2016
SC,20012002,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,0.1267,11/09/2012
SC,20022003,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,0.1264,11/09/2012
SC,20032004,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,0.1585,11/09/2012
SC,20042005,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,0.1520,11/09/2012
